,author,published_at,comment,like
82,@rehatbentar5502,2024-07-13T23:34:41Z,Kalo on the track kenapa boss lu ga jadi ngantor bulan Juli 2024 ini? Dia ngaku kok gk ada air dan listrik 😂😂😂😂,0
83,@rehatbentar5502,2024-07-13T23:33:10Z,"Bu Grace, coba liat progres pembangunan rusun ASN di sono bu. Itu besinya sdh mulai karatan 😂😂😂😂😂",0
84,@akhmadagung1686,2024-07-13T23:53:38Z,Kamu masih percaya bacotan para penjilat ???,0
85,@rehatbentar5502,2024-07-14T00:20:04Z,@@akhmadagung1686 liat sendiri Sono! Wkwkwkwk,0
86,@grandong9879,2024-07-13T23:31:08Z,bang katanya july sudah ngantor di ikn -_-. kalau sesuai target kenapa belum ngantor disana?,0
87,@zuliansyahputra7522,2024-07-13T23:29:18Z,"Wlwh,zzmanusia menjijikan",0
88,@sujokojoko5452,2024-07-13T23:25:10Z,IKN jalan terus tidak usah gubris orang-orang dengki yang tidak ada sumbangsihnya untuk negara,1
89,@Sonia-eh1qx,2024-07-13T23:24:25Z,"IKN ini salah satu simbol dari pemerataan Indonesia, semoga niat baik pemerintah berjalan dengan lancar dan semoga negara ini bisa bebas dari oknum2 pejabat yang hanya ingin memperkaya diri dengan cara merugikan rakyat🙏🙏🇮🇩❤️",6
90,@taufikashab5465,2024-07-14T02:24:05Z,Kita butuh pemerataan nyata.. bukan simbol doang,1
91,@RakaSumerta,2024-07-14T05:36:05Z,"Loh ..loh .., justru disinilah jadi tempat akan bersarangnya bagi mahluk"" yg mengumbar hasratnya ingin memperkaya diri, .... pikiran anda terlalu lugu, ideal dan bersih, tapi naluri anda kurang tajam, di setiap proyek besarlah peluang bisa terjadinya penyimpangan""",1
92,@taufikashab5465,2024-07-14T06:43:05Z,@@RakaSumerta valid,0
93,@aspendikasuma9846,2024-07-15T22:27:35Z,@@RakaSumerta ya.. anda benar lugu sekali dia..,0
94,@Komenbiasasaja.,2024-07-13T23:20:39Z,Ayo nabung untuk beki tiket menghadiri Upacara 27 Agustys 2024 di IKN.  Paham kan?,4
95,@johntitor_,2024-07-13T23:20:32Z,"Haha ud dpt cuan lemes lambenya skg
Politik busuk, skg ajang cari cuan",0
96,@pardepo,2024-07-13T23:16:55Z,membaca teks itu mudah ...,0
97,@ludvyantrienidad2750,2024-07-13T23:15:43Z,Kasus 271 T apa kabar.....belum lagi yg 3000...kemana larinya uang negara...kok pada diem,0
98,@ludvyantrienidad2750,2024-07-13T23:13:42Z,Orang bodoh sekelas Grace Natali Kok di pakai,0
99,@bilsonsimamora9297,2024-07-13T23:13:10Z,"Joko terbukti ga ngantor Juli di IKN, kok on the track?",4
100,@MurahRejeki-m6f,2024-07-13T23:07:42Z,Jilat pantat terus... Sampai clingggg....,0
101,@lizza7042,2024-07-13T23:04:47Z,Kalau sesuai betarti  president sdh berkamtor di bukan Juli ini,1
102,@muhfebriansyah451,2024-07-13T23:03:38Z,Orang ini tidak konsisten dulu menghujat prabowo sekarang malah menjilat,0
103,@mohammadabdulkarim3283,2024-07-13T23:02:37Z,"Penjilat, buzzer sejati, no jilat, no money",0
104,@pinanditochannel6008,2024-07-13T22:57:26Z,On the MANGKRAK.. Itu proyek ambisi pribadi yang tidak melibatkan Rakyat sebagai pemilik Negara..... Ambyaaaarrrr... Pengin lihat Endingnya orang2  yang kayak gini  !!?,0
105,@yenimulyani8362,2024-07-13T22:52:02Z,"Skrg jd jubir ikn.ktnya komisaris tiktok..sdhlh skrg leluasa ngomong.nnt oktober lu ditimpukin wartawan krn dah g dianggap ,jilat dan cebokin bosnya 🤣🤣🤣🤣",0
106,@TeLAU-F64,2024-07-13T22:48:28Z,"Grece anak perusahaan pt gudang garam.bnyk duit biar aman.😂PSI dulu di idam""kan jd melenial skrg jd babu politik.",0
107,@ekasapoetra4829,2024-07-13T22:46:08Z,"perempuan cantik TAPI mentalnya penipu & tukang bohong = munafik.
inilah penjilat baru selain si ngadalin",0
108,@kusmanakadarusman3734,2024-07-13T22:45:56Z,"Jangan banyak bohong, rakyat sudah bosen dengan ocehan para pejabat dengan kebohongannya, negara ini sudah diliputi kebohongan para penguasa, kalian siap"" jadi penghuni jeruji besi",1
109,@fidalfiranda8074,2024-07-13T22:42:58Z,😂😂 munafikun di percaya setali 3 uang ..sama sama pinokio,0
