comment,author,publishedAt,likeCount
"Nasi putih tempe orek sambal dan micin  

Atau nasi putih campur garam di tambahin air putih hangat kayak jaman aku dulu makan seperti itu",@keluargaboyboy8,2024-12-03T01:21:31Z,0
"di tmp ku pandaan pasuruan, 9rb dapet nasi porsi kuli + ayam + tahu + tempe + sayur (sop/asem/kangkung/lodeh)",@MagnaX-Games,2024-12-03T01:16:15Z,0
"coba pak prabowo sama menteri per makan dianggar 10ribu, susunya ganti air putih segelas ",@Tukang_Batu,2024-12-03T01:07:04Z,0
Gak pake susu Australi dong KL 10ribu,@saiagustianti,2024-12-03T00:54:11Z,0
Ya saya hanya usul pak...Prabowwo....kalau bisa untuk makan gratis di pilih aja untuk sekolah yg memang membutuhkan tambahan Gizi jadi tidak membebani APBN.,@budiyonoratna6557,2024-12-03T00:30:03Z,1
Kami dari desa silimabanua kecamatan hiliduho kabupaten nias provinsi sumaterautara hanya sekitar 2 ke 3 orang yang menerima makan siang gratis yang seharusnya  masih banyak yang layak dan sungguh layak terimakasih,@AugusoNdraha-t3y,2024-12-03T00:20:10Z,0
Klw tak sanggup Ndak usah ngasih.memalukan bgs SM dunia asing SJ.,@zaharazahara4566,2024-12-02T23:55:49Z,0
Di buatkan porsi nasi kucing sama susu kedelai saja pak.,@bambangheripurnomo7054,2024-12-02T23:37:43Z,0
Anggaran 10.000 sampai di anak2 8500 dapat nasi sayur tahu tempe belum buah ....,@tjondrobirowo9541,2024-12-02T23:29:29Z,0
"Sampai lokasi tggal 5 rb,..hahahha duwite ngutang lagi,....25% kelaparan,...tragis hmpr 80thn merdeka,..",@DanuWijaya-t3l,2024-12-02T22:40:16Z,0
"Mencla mencle ...

Podo Karo gurune .....",@imambasuki7923,2024-12-02T21:49:15Z,0
Neg deso ono pora.....???????,@giartokewel7207,2024-12-02T18:26:13Z,0
10rb itu makan minim di warteg....😂,@arifmartoyo,2024-12-02T17:47:41Z,0
Dibangka Belitung 10000 dapet nasi sama telor doang,@Putrajawa-rr1wi,2024-12-02T15:12:50Z,0
Nanti di pangkas lagi jadi goceng,@amirnectura7191,2024-12-02T15:05:51Z,0
